"STATION","NAME","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT32","DX32","DX70","DX90","EMSD","EMSN","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDFG","WSFG","WSFM"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1960",,"254","       163","        99","       15","         6","        55","         4","       114","        10","5","3.2","5060","35.95","12.9","52.1","61.1","43.2","       225","48.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1961",,"411","       173","       109","        1","         0","        31","         0","       116","        13","1","0.7","4383","41.95","1.0","53.9","62.8","44.9","       225","57.5",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1962",,"199","       140","        87","        2","         1","        44","         2","       108","         7","1","3.2","4860","34.20","4.6","53.0","61.8","44.1","       203","86.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1963",,"164","       163","       101","        3","         2","        51","         5","       106","         3","1","3.4","4658","33.77","5.0","52.1","60.5","43.7","       180","62.2",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1964",,"103","       178","        92","        4","         2","        64","         4","        88","         2","11","8.0","5143","37.92","11.0","50.1","59.3","40.8","       270","88.6",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1965",,"324","       120","        76","        0","         0","        48","         0","       126","        14","0","0.3","5068","31.31","0.3","53.7","63.4","44.0","       135","67.8","57.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1966",,"242","       147","        89","        0","         0","        23","         0","       132","         3","0","0.4","4410","33.87","0.6","53.6","63.0","44.3","       180","55.3","36.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1967",,"540","       142","        85","        3","         2","        35","         1","       131","        21","3","3.3","4405","29.25","5.7","54.2","64.1","44.3","       180","78.3","70.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1968",,"257","       184","       115","        5","         6","        38","         5","       105","         9","9","6.0","4383","50.92","20.8","52.8","61.7","43.9","       180","51.7","45.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1969",,"279","       145","        84","       16","         6","        46","         9","       130","         6","10","5.1","5007","37.13","18.3","52.8","62.0","43.6","       225","55.3","40.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1970",,"374","       141","        88","        1","         1","        51","         1","       119","        16","1","1.0","4401","41.39","1.4","53.6","63.5","43.6","       180","54.1","45.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1971",,"400","       168","       101","        5","         5","        44","         0","       121","        15","4","3.5","4782","41.76","13.2","52.8","61.6","43.9","       180","71.4","48.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1972",,"510","       150","        99","        7","         2","        42","        13","       137","        22","5","3.8","4561","38.84","6.5","53.9","63.4","44.4","       180","63.3","48.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1973",,"387","       151","        97","        0","         0","        27","         2","       119","        18","0","0.4","4493","41.69","0.4","54.2","63.4","45.0","        90","52.8","46.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1974",,"392","       150","        93","        0","         0","        28","         7","       131","        18","0","0.0","4493","40.29","0.0","54.2","63.2","45.1","       180","64.4","50.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1975",,"323","       164","       100","        0","         0","        44","         0","       111","         9","0","0.1","4469","39.09","0.1","53.0","61.6","44.5","       225","48.3","36.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1976",,"200","       127","        77","        0","         0","        49","         0","       113","         1","0","0.0","4621","26.74","0.0","52.8","61.8","43.8",,,"40.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1977",,"359","       160","        98","        2","         1","        50","         2","       105","        14","5","7.0","4645","37.06","7.6","52.8","61.9","43.8","       180","56.4","42.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1978",,"327","       155","        95","        2","         2","        60","         4","       109","        12","3","3.0","4571","30.64","5.5","52.5","61.3","43.6","       225","51.7","38.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1979",,"437","       148","        96","        6","         1","        43","        10","       148","         9","1","1.1","4935","35.74","3.0","54.6","63.4","45.8","       135","54.1","44.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1980",,"251","       155","        91","        6","         4","        37","         8","       123","         7","10","5.5","4358","42.43","12.4","53.6","62.3","44.9","       225","44.7","36.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1981",,"426","       161","        91","        0","         1","        30","         0","       112","        17","0","2.0","4025","34.31","2.0","54.8","63.9","45.7","       180","71.4",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1982",,"376","       157","        91","        4","         2","        37","         3","       119","        14","1","1.0","4346","43.05","2.1","53.7","62.5","44.9","       225","55.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1983",,"283","       185","       110","        0","         1","        25","         6","       115","         3","0","1.0","4023","47.26","2.3","54.6","62.5","46.7","        90","56.4","50.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1984","7.8","366","       168","       103","        1","         1","        27","         2","       112","         7","2","2.4","4366","37.52","2.9","54.0","62.1","45.9","       225","51.7",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1985","7.8","482","       112","        65","        5","         6","        84","         9","       124","        19","2","2.0","4644","22.51","9.8","52.2","61.4","43.0","        90","52.8","53.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1986","7.6","447","       148","        86","        1","         3","        26","         0","       122","        17","1","2.8","4824","35.07","5.9","54.6","63.7","45.6","       180","48.3","36.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1987","7.6","486","       119","        71","        1","         2","        39","         0","       145","        23","1","1.5","4129","29.93","2.9","55.3","65.2","45.4","       180","48.3","36.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1988","7.6","364","       146","        84","        0","         0","        32","         0","       118","        17","0","0.4","4322","31.75","0.6","54.2","63.3","45.0","       180","52.8",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1989","8.1","233","       129","        71","        2","         1","        42","         3","       128","         5","1","1.1","4299","30.09","3.2","53.5","62.3","44.7","       135","60.8",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1990","8.1","511","       165","        88","        3","         2","        33","         8","       124","        20","2","5.2","4153","32.91","9.6","54.6","63.4","45.8","       225","63.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1991","7.6","434","       133","        80","        0","         0","        32","         0","       119","        16","0","0.6","4574","33.58","0.6","54.3","63.5","45.1","       225","51.7",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1992","8.1","517","       126","        76","        0","         2","        23","         0","       145","        17","0","2.5","3524","29.52","4.6","56.2","65.8","46.6","       225","59.7",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1993","8.3","268","       134","        83","        6","         2","        66","         2","       124","         7","6","6.1","4494","30.37","9.6","53.3","62.2","44.3","       180","55.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1994","8.3","509","       143","        72","        2","         1","        32","         0","       146","        13","1","2.0","4133","35.00","4.0","55.1","64.5","45.7","        90","51.7",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1995","8.7","431","       158","       108","        2","         1","        24","         1","       125","        10","4","3.6","4128","43.49","4.0","55.6","64.4","46.8",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1996","7.8","462","       182","       117","        8","         2","        28","         6","       111","        21","5","6.6","4167","63.23","8.6","53.9","62.2","45.7",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1997","7.6","451","       167","        99","        0","         0","        30","         0","       122","         9","0","0.0","4365","43.89","0.0","54.8","62.9","46.6",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1998","7.6","525","       183","       114","        6","         4","        19","         6","       119","        15","7","5.0","4054","46.04","10.5","55.2","63.0","47.4",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1999","7.8","359","       175","       107","        0","         0","        17","         0","       113","         5","0","0.0","4410","38.91","0.0","54.1","62.4","45.7",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2000","7.4","331","       157","        92","        0","         1","        40","         0","       125","         5","0","1.0","4174","30.24","1.1","53.6","62.1","45.2",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2001","7.6","328","       152","        87","        0","         0","        27","         0","       119","         6","0","0.0","4574","30.47","0.0","53.8","62.5","45.0",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2002","7.4","422","       137","        76","        0","         0","        29","         0","       125","        12","0","0.3","4363","31.27","0.6","54.3","63.1","45.5",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2003","7.6","591","       160","       101","        0","         1","        26","         0","       131","        22","0","2.3","4070","37.54","2.9","55.5","64.1","46.9",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2004","6.9","512","       158","        91","       11","         4","        21","         3","       133","        12","7","4.5","3874","27.69","9.4","55.7","63.9","47.4",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2005","7.2","419","       150","        92","        0","         1","        43","         1","       119","        15","0","1.2","4067","36.15","1.2","54.4","63.1","45.8",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2006","8.1","513","       160","       103","        0","         0","        33","         0","       131","        21","0","0.4","4216","43.04","0.7","54.9","63.8","46.1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2007","6.5","383","       161","        90","        2","         1","        35","         2","       110","         9","3","3.0","4325","32.10","3.5","53.8","62.2","45.5",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2008","6.7","451","       165","        83","       11","         6","        31","         6","       112","        15","12","7.0","4727","27.14","19.0","53.5","62.0","45.1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2009","6.7","603","       154","        81","        2","         3","        56","         3","       131","        24","2","2.5","4415","30.56","7.4","54.4","63.3","45.4",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2010","7.2","301","       191","       114","        0","         0","        12","         2","       102","        11","0","0.3","4354","46.24","0.3","54.1","62.0","46.2",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2011","6.3","347","       165","        92","        0","         1","        39","         0","       103","         7","0","1.5","4696","37.12","1.5","52.9","60.8","45.0",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2012","6.7","413","       170","       121","        1","         2","        25","         0","       121","        11","1","1.3","4481","50.44","2.7","54.5","62.8","46.2",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013","5.6","515","       136","        74","        0","         0","        42","         5","       126","        10","0","0.5","4059","26.75","0.5","54.2","62.6","45.7",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2014","7.6","630","       158","       107","        5","         3","        37","         4","       145","        21","5","3.8","4384","40.14","7.3","56.0","64.6","47.5",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2015","6.7","755","       129","        80","        0","         0","        23","         0","       150","        29","0","0.1","3423","40.42","0.1","57.3","66.7","48.0",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2016","7.4","524","       176","       115","        6","         2","        28","         1","       140","        14","2","2.3","3521","43.38","4.1","56.6","64.9","48.2",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2017","7.6","672","       160","        99","       10","         3","        45","         6","       128","        24","7","6.5","4484","45.84","9.4","54.1","62.8","45.4",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2018","6.7","668","       137","        72","        2","         2","        18","         0","       147","        31","3","4.2","3993","27.32","6.6","56.4","65.4","47.4",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2019","6.7","542","       143","        82","        5","         1","        43","         0","       126","        11","3","4.9","3993","26.70","7.0","54.8","63.2","46.3",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2020","6.7","575","       154","        89","        0","         0","        27","         0","       134","        15","0","0.5","4089","32.48","0.5","55.9","64.5","47.3",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2021","6.9","811","       148","        92","       12","         4","        20","         3","       135","        24","10","6.1","3881","35.61","14.1","56.5","65.4","47.6",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2022","6.3","838","       142","        94","        0","         1","        31","         2","       141","        29","0","1.6","4115","40.04","2.7","55.8","64.5","47.1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2023","6.7","875","       146","        87","        5","         1","        28","         1","       140","        26","10","10.8","4121","35.76","10.8","56.6","65.3","47.9",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2024",,,,,,,,,,,,,,,,,,,,,
